census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 161; Hudson County; New Jersey!!Percent,100.00%,5.60%,6.20%,7.60%,7.50%,7.60%,7.10%,6.70%,8.40%,6.70%,7.30%,7.10%,6.10%,5.60%,3.40%,3.00%,1.90%,1.00%,1.30%,,79.00%,76.20%,71.30%,13.70%,10.50%,100.00%,5.10%,5.90%,8.20%,8.10%,8.30%,6.80%,7.00%,9.00%,6.60%,7.00%,6.70%,6.10%,5.80%,3.70%,2.20%,1.40%,1.10%,1.00%,,79.30%,75.90%,71.00%,12.80%,9.40%,100.00%,6.20%,6.50%,6.90%,7.00%,6.80%,7.30%,6.50%,7.80%,6.80%,7.50%,7.50%,6.20%,5.40%,3.10%,3.80%,2.30%,0.90%,1.60%,,78.60%,76.50%,71.70%,14.60%,11.70%,,(X),(X),(X),,100.00%,72.90%,16.00%,2.80%,2.60%,2.60%,0.10%,48.70%,27.10%,,128.50%,39.50%,6.20%,4.50%,3.50%,0.20%,74.70%,,100.00%,87.70%,12.30%,,100.00%,87.70%,10.00%,0.90%,2.60%,0.20%,0.00%,48.10%,25.90%,12.30%,6.00%,1.90%,0.10%,2.40%,0.10%,0.70%,1.20%,,100.00%,100.00%,33.20%,11.40%,0.30%,3.20%,0.00%,32.60%,20.50%,1.90%,1.50%,10.90%,6.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,35.00%,18.30%,9.80%,5.30%,23.10%,11.80%,3.50%,3.00%,32.10%,10.40%,6.00%,9.60%,42.20%,24.00%,,100.00%,93.10%,6.90%,4.50%,0.00%,0.10%,0.10%,0.70%,1.40%,,(X),(X),,100.00%,15.30%,84.70%,True,6.0,1.9,2.4,0.1,0.7,87.7,False
Census Tract 162; Hudson County; New Jersey!!Percent,100.00%,5.90%,6.20%,7.40%,5.80%,6.90%,8.00%,7.30%,7.50%,7.50%,7.00%,7.70%,6.70%,5.60%,4.10%,2.50%,1.80%,1.20%,0.80%,,79.30%,76.90%,73.10%,13.30%,10.40%,100.00%,5.90%,6.50%,7.60%,5.80%,7.00%,8.20%,7.50%,8.00%,7.80%,6.70%,8.10%,6.70%,5.30%,3.30%,2.20%,1.60%,1.10%,0.70%,,79.40%,76.70%,72.20%,12.00%,8.90%,100.00%,5.90%,5.90%,7.10%,5.90%,6.80%,7.80%,7.10%,6.90%,7.10%,7.40%,7.40%,6.60%,5.90%,4.90%,2.80%,2.00%,1.40%,0.90%,,79.10%,77.10%,74.10%,14.80%,12.00%,,(X),(X),(X),,100.00%,75.90%,18.90%,2.80%,2.50%,1.30%,0.00%,50.50%,24.10%,,124.90%,39.90%,5.40%,4.00%,2.00%,0.00%,73.50%,,100.00%,89.00%,11.00%,,100.00%,89.00%,12.10%,1.80%,2.40%,0.10%,0.00%,49.60%,23.10%,11.00%,6.70%,1.00%,0.10%,1.20%,0.00%,0.90%,1.00%,,100.00%,99.20%,33.50%,11.70%,0.20%,3.00%,0.10%,31.30%,19.40%,2.50%,2.10%,9.80%,7.00%,0.80%,0.00%,0.00%,0.00%,0.80%,0.60%,0.20%,,100.00%,34.30%,16.40%,9.50%,5.30%,24.20%,11.20%,3.20%,2.50%,32.00%,11.80%,4.50%,8.60%,38.00%,22.90%,,100.00%,93.70%,6.30%,3.90%,0.10%,0.00%,0.00%,0.10%,2.20%,,(X),(X),,100.00%,11.90%,88.10%,True,6.7,1.0,1.2,0.1,0.9,89.0,False
Census Tract 163; Hudson County; New Jersey!!Percent,100.00%,5.10%,5.50%,5.90%,5.90%,5.60%,7.30%,8.80%,8.50%,7.70%,6.40%,6.50%,6.40%,5.20%,4.60%,3.60%,2.90%,1.90%,2.20%,,82.10%,79.80%,76.50%,18.20%,15.10%,100.00%,5.60%,5.80%,5.90%,6.70%,6.50%,7.40%,9.30%,8.80%,8.90%,5.50%,5.90%,6.60%,4.50%,3.90%,3.40%,2.40%,1.30%,1.50%,,81.00%,78.70%,75.10%,15.50%,12.60%,100.00%,4.60%,5.30%,5.90%,5.20%,4.70%,7.10%,8.40%,8.20%,6.60%,7.20%,7.10%,6.30%,5.80%,5.20%,3.70%,3.40%,2.40%,2.90%,,83.10%,80.90%,77.80%,20.70%,17.50%,,(X),(X),(X),,100.00%,71.80%,19.60%,2.90%,2.70%,4.10%,0.00%,42.50%,28.20%,,129.50%,45.10%,6.00%,4.30%,4.80%,0.10%,69.10%,,100.00%,83.80%,16.20%,,100.00%,83.80%,11.00%,0.90%,2.40%,0.10%,0.00%,42.10%,27.20%,16.20%,8.50%,2.00%,0.30%,3.90%,0.00%,0.40%,1.00%,,100.00%,100.00%,37.10%,13.40%,0.40%,3.20%,0.10%,28.60%,17.20%,2.10%,1.60%,9.50%,5.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,37.00%,14.90%,9.10%,5.30%,18.80%,10.30%,2.20%,1.00%,35.10%,13.60%,6.50%,7.40%,33.00%,26.00%,,100.00%,95.70%,4.30%,2.80%,0.10%,0.20%,0.00%,0.00%,1.20%,,(X),(X),,100.00%,18.70%,81.30%,False,8.5,2.0,3.9,0.3,0.4,83.8,False
Census Tract 164; Hudson County; New Jersey!!Percent,100.00%,4.70%,5.70%,5.70%,6.10%,7.00%,7.70%,7.90%,7.00%,8.10%,6.50%,7.20%,6.60%,5.00%,4.40%,3.30%,2.80%,2.50%,1.80%,,82.60%,80.50%,76.50%,17.70%,14.80%,100.00%,5.20%,5.60%,6.70%,6.70%,7.80%,7.80%,8.10%,7.80%,8.90%,6.00%,6.50%,6.00%,4.60%,3.80%,2.20%,2.30%,2.30%,1.60%,,80.90%,78.40%,74.10%,14.80%,12.20%,100.00%,4.20%,5.80%,4.60%,5.50%,6.20%,7.60%,7.70%,6.20%,7.30%,7.00%,7.90%,7.10%,5.50%,5.00%,4.40%,3.30%,2.70%,2.00%,,84.30%,82.70%,78.90%,20.60%,17.50%,,(X),(X),(X),,100.00%,72.50%,19.20%,2.80%,2.70%,2.40%,0.00%,45.50%,27.50%,,128.50%,43.20%,5.50%,4.90%,3.50%,0.20%,71.20%,,100.00%,85.90%,14.10%,,100.00%,85.90%,10.60%,1.30%,2.60%,0.20%,0.00%,44.80%,26.40%,14.10%,8.50%,1.50%,0.10%,2.10%,0.00%,0.70%,1.10%,,100.00%,99.40%,36.70%,12.30%,0.20%,3.30%,0.20%,28.70%,16.30%,2.00%,1.50%,10.50%,5.50%,0.60%,0.00%,0.00%,0.00%,0.60%,0.40%,0.20%,,100.00%,33.50%,12.90%,9.90%,4.40%,22.50%,11.50%,4.10%,2.20%,34.00%,15.20%,8.40%,7.00%,31.40%,29.90%,,100.00%,94.10%,5.90%,2.20%,1.20%,0.10%,0.10%,0.30%,1.80%,,(X),(X),,100.00%,17.20%,82.80%,False,8.5,1.5,2.1,0.1,0.7,85.9,False
Census Tract 165; Hudson County; New Jersey!!Percent,100.00%,5.80%,5.50%,5.30%,4.90%,6.80%,8.90%,10.60%,9.30%,6.50%,5.60%,6.30%,5.60%,5.00%,4.20%,3.10%,2.00%,2.10%,2.50%,,82.40%,80.50%,77.30%,17.00%,13.90%,100.00%,6.40%,5.10%,5.20%,5.10%,6.70%,9.30%,10.60%,9.80%,6.30%,6.10%,7.00%,5.40%,4.60%,4.50%,2.90%,1.70%,1.70%,1.60%,,82.00%,80.00%,76.70%,15.00%,12.30%,100.00%,5.20%,5.80%,5.40%,4.60%,6.90%,8.60%,10.60%,8.80%,6.70%,5.10%,5.70%,5.80%,5.40%,3.90%,3.40%,2.30%,2.60%,3.30%,,82.80%,80.90%,77.90%,18.90%,15.40%,,(X),(X),(X),,100.00%,78.00%,29.00%,4.10%,2.30%,7.50%,0.00%,35.10%,22.00%,,123.20%,48.00%,7.40%,3.90%,8.20%,0.10%,55.50%,,100.00%,68.00%,32.00%,,100.00%,68.00%,10.70%,1.40%,2.10%,0.20%,0.00%,33.20%,20.40%,32.00%,18.40%,2.70%,0.20%,7.30%,0.00%,1.80%,1.60%,,100.00%,95.80%,37.70%,12.10%,0.40%,3.00%,0.30%,26.20%,17.00%,1.80%,1.40%,7.50%,6.70%,4.20%,2.80%,0.90%,1.90%,1.40%,1.10%,0.30%,,100.00%,34.00%,14.00%,8.70%,2.60%,24.80%,14.80%,3.00%,2.30%,32.50%,15.30%,4.80%,6.70%,29.20%,22.80%,,100.00%,91.90%,8.10%,3.10%,0.80%,0.70%,0.20%,0.30%,2.90%,,(X),(X),,100.00%,24.30%,75.70%,False,18.4,2.7,7.3,0.2,1.8,68.0,False
Census Tract 166; Hudson County; New Jersey!!Percent,100.00%,5.50%,6.50%,6.30%,6.90%,6.90%,7.50%,8.50%,8.00%,7.10%,6.30%,6.30%,6.60%,5.40%,3.90%,3.00%,2.40%,1.50%,1.40%,,80.10%,77.70%,73.20%,15.30%,12.10%,100.00%,5.90%,6.90%,6.10%,8.00%,7.80%,7.90%,9.10%,7.20%,7.40%,6.40%,6.10%,6.10%,5.00%,3.30%,2.60%,1.80%,1.00%,1.20%,,79.50%,76.60%,71.30%,12.90%,10.00%,100.00%,5.20%,6.20%,6.40%,5.90%,6.10%,7.10%,7.90%,8.60%,6.80%,6.20%,6.50%,7.10%,5.80%,4.40%,3.40%,2.90%,1.90%,1.60%,,80.60%,78.60%,74.90%,17.50%,14.10%,,(X),(X),(X),,100.00%,73.30%,22.50%,2.90%,2.70%,2.80%,0.00%,42.40%,26.70%,,127.70%,45.20%,6.70%,4.60%,3.20%,0.10%,67.90%,,100.00%,83.10%,16.90%,,100.00%,83.10%,12.10%,1.10%,2.60%,0.20%,0.00%,41.40%,25.60%,16.90%,10.40%,1.70%,0.10%,2.60%,0.00%,1.00%,1.10%,,100.00%,99.80%,34.90%,11.60%,0.30%,2.80%,0.20%,31.10%,18.30%,3.00%,2.50%,10.60%,5.20%,0.20%,0.00%,0.00%,0.00%,0.20%,0.20%,0.00%,,100.00%,33.90%,15.50%,8.20%,3.60%,19.90%,9.50%,1.90%,2.00%,38.10%,13.90%,6.10%,8.90%,34.70%,24.60%,,100.00%,93.00%,7.00%,2.70%,0.70%,0.30%,0.30%,0.00%,3.10%,,(X),(X),,100.00%,16.00%,84.00%,False,10.4,1.7,2.6,0.1,1.0,83.1,False
Census Tract 167; Hudson County; New Jersey!!Percent,100.00%,6.30%,7.40%,7.30%,6.20%,6.10%,7.60%,8.10%,10.10%,6.30%,7.40%,6.90%,6.20%,4.60%,2.90%,2.30%,1.90%,1.10%,1.10%,,77.60%,74.60%,71.90%,12.00%,9.30%,100.00%,6.50%,7.10%,8.30%,7.70%,6.90%,7.90%,8.20%,9.40%,6.30%,7.70%,6.80%,6.40%,4.00%,1.80%,1.70%,1.80%,0.70%,0.90%,,76.10%,72.50%,69.30%,8.70%,6.80%,100.00%,6.10%,7.80%,6.30%,4.70%,5.40%,7.20%,8.00%,10.80%,6.30%,7.10%,7.10%,6.00%,5.30%,4.10%,2.90%,2.10%,1.50%,1.40%,,79.10%,76.80%,74.70%,15.50%,11.90%,,(X),(X),(X),,100.00%,73.50%,22.30%,2.70%,2.40%,4.00%,0.00%,42.10%,26.50%,,128.10%,46.60%,5.10%,3.50%,4.70%,0.20%,68.00%,,100.00%,86.10%,13.90%,,100.00%,86.10%,14.90%,1.20%,2.20%,0.20%,0.00%,41.60%,26.00%,13.90%,7.40%,1.50%,0.20%,3.80%,0.00%,0.60%,0.50%,,100.00%,100.00%,34.50%,12.00%,0.50%,3.60%,0.00%,30.30%,20.80%,2.80%,2.30%,11.30%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,36.30%,17.70%,8.80%,3.60%,21.20%,12.30%,3.40%,1.80%,33.70%,11.70%,4.40%,10.70%,39.20%,23.50%,,100.00%,91.80%,8.20%,3.90%,0.90%,0.70%,0.60%,0.30%,1.80%,,(X),(X),,100.00%,18.00%,82.00%,False,7.4,1.5,3.8,0.2,0.6,86.1,False
Census Tract 168; Hudson County; New Jersey!!Percent,100.00%,5.90%,6.10%,8.00%,6.60%,6.80%,8.50%,8.90%,8.60%,7.00%,7.70%,6.00%,5.90%,4.20%,4.00%,1.90%,1.60%,1.20%,1.20%,,78.60%,76.30%,72.30%,12.20%,9.90%,100.00%,5.70%,6.50%,7.50%,6.90%,7.20%,8.80%,9.60%,8.80%,7.20%,7.70%,5.90%,5.10%,4.70%,3.60%,1.60%,1.40%,0.90%,0.80%,,78.80%,76.20%,71.90%,11.00%,8.40%,100.00%,6.10%,5.60%,8.60%,6.30%,6.40%,8.00%,8.10%,8.50%,6.80%,7.70%,6.10%,6.70%,3.60%,4.50%,2.10%,1.90%,1.50%,1.60%,,78.40%,76.40%,72.80%,13.60%,11.50%,,(X),(X),(X),,100.00%,74.80%,19.00%,4.10%,3.30%,3.00%,0.00%,45.40%,25.20%,,126.00%,40.10%,6.60%,6.00%,3.50%,0.10%,69.70%,,100.00%,85.80%,14.20%,,100.00%,85.80%,13.30%,1.00%,2.80%,0.00%,0.00%,44.70%,24.00%,14.20%,5.70%,3.10%,0.50%,3.00%,0.00%,0.70%,1.30%,,100.00%,99.70%,34.20%,11.40%,0.40%,3.20%,0.10%,30.40%,19.70%,2.70%,2.30%,10.70%,6.60%,0.30%,0.00%,0.00%,0.00%,0.30%,0.20%,0.10%,,100.00%,33.80%,16.60%,9.90%,4.70%,26.40%,12.40%,2.30%,3.00%,29.90%,9.00%,4.40%,8.60%,38.50%,21.20%,,100.00%,95.20%,4.80%,2.10%,0.50%,0.10%,0.20%,0.40%,1.50%,,(X),(X),,100.00%,11.10%,88.90%,False,5.7,3.1,3.0,0.5,0.7,85.8,False
Census Tract 169; Hudson County; New Jersey!!Percent,100.00%,5.70%,6.20%,5.70%,6.50%,6.30%,7.60%,8.10%,7.90%,7.00%,6.10%,6.00%,6.20%,4.10%,4.30%,4.00%,2.70%,2.90%,2.80%,,81.00%,78.80%,74.30%,18.50%,16.70%,100.00%,5.90%,7.20%,5.30%,7.80%,7.30%,8.40%,7.10%,7.60%,7.40%,6.10%,5.40%,6.20%,4.00%,4.30%,3.60%,2.20%,2.50%,1.80%,,80.30%,77.00%,71.70%,16.30%,14.30%,100.00%,5.50%,5.30%,6.00%,5.10%,5.30%,6.70%,9.00%,8.20%,6.60%,6.10%,6.60%,6.30%,4.20%,4.30%,4.30%,3.30%,3.40%,3.80%,,81.70%,80.50%,76.80%,20.80%,19.10%,,(X),(X),(X),,100.00%,75.10%,18.00%,2.20%,2.30%,3.30%,0.10%,49.20%,24.90%,,126.60%,39.20%,5.10%,5.10%,4.00%,0.50%,72.70%,,100.00%,87.80%,12.20%,,100.00%,87.80%,11.50%,1.30%,2.20%,0.10%,0.10%,48.70%,23.90%,12.20%,6.50%,0.90%,0.10%,3.20%,0.00%,0.50%,1.00%,,100.00%,99.60%,36.80%,11.50%,0.10%,3.10%,0.10%,28.30%,17.20%,2.00%,1.70%,11.60%,6.30%,0.40%,0.00%,0.00%,0.00%,0.40%,0.20%,0.10%,,100.00%,32.30%,14.20%,7.90%,4.30%,22.90%,14.00%,5.10%,1.80%,36.90%,17.80%,10.80%,9.10%,33.00%,32.00%,,100.00%,93.10%,6.90%,3.10%,0.50%,0.00%,0.00%,0.00%,3.30%,,(X),(X),,100.00%,12.50%,87.50%,False,6.5,0.9,3.2,0.1,0.5,87.8,False
Census Tract 170; Hudson County; New Jersey!!Percent,100.00%,6.20%,6.80%,7.50%,6.80%,7.00%,7.60%,8.20%,8.20%,7.20%,7.20%,6.60%,5.80%,3.90%,3.40%,2.10%,1.60%,1.80%,2.20%,,78.40%,75.90%,71.10%,13.50%,11.10%,100.00%,6.20%,6.40%,7.90%,7.10%,6.80%,8.70%,8.60%,8.10%,7.90%,7.40%,6.60%,5.10%,3.50%,3.20%,1.90%,1.60%,1.80%,1.20%,,78.30%,75.80%,71.00%,11.90%,9.70%,100.00%,6.20%,7.20%,7.10%,6.40%,7.10%,6.70%,7.90%,8.20%,6.50%,7.10%,6.50%,6.40%,4.30%,3.60%,2.30%,1.60%,1.80%,3.10%,,78.40%,76.00%,71.10%,15.00%,12.40%,,(X),(X),(X),,100.00%,80.20%,15.70%,4.10%,2.50%,2.50%,0.10%,55.30%,19.80%,,120.80%,32.10%,7.40%,4.00%,3.00%,0.40%,73.90%,,100.00%,85.70%,14.30%,,100.00%,85.70%,8.60%,1.60%,2.30%,0.10%,0.10%,54.20%,18.80%,14.30%,7.10%,2.50%,0.20%,2.40%,0.00%,1.10%,1.00%,,100.00%,96.90%,33.30%,10.90%,0.20%,3.30%,0.20%,31.30%,20.30%,2.50%,2.10%,10.00%,5.30%,3.10%,3.10%,1.30%,1.80%,0.00%,0.00%,0.00%,,100.00%,33.50%,16.60%,10.60%,5.20%,22.20%,9.60%,1.90%,2.40%,33.80%,10.50%,3.70%,11.00%,40.40%,20.30%,,100.00%,89.30%,10.70%,4.30%,0.40%,1.00%,0.20%,0.50%,4.20%,,(X),(X),,100.00%,12.40%,87.60%,False,7.1,2.5,2.4,0.2,1.1,85.7,False
Census Tract 171; Hudson County; New Jersey!!Percent,100.00%,6.20%,6.20%,6.60%,7.20%,6.60%,7.70%,8.30%,6.90%,7.00%,6.50%,7.40%,7.20%,5.70%,3.30%,2.80%,2.00%,1.20%,1.30%,,79.60%,76.60%,72.60%,13.90%,10.60%,100.00%,6.50%,6.80%,6.20%,7.20%,7.10%,8.40%,8.20%,7.20%,7.00%,6.40%,7.90%,6.40%,4.90%,2.80%,2.90%,2.00%,1.20%,0.80%,,79.00%,76.00%,71.50%,12.90%,9.70%,100.00%,5.90%,5.70%,7.00%,7.20%,6.20%,7.00%,8.40%,6.60%,7.00%,6.60%,7.00%,7.90%,6.40%,3.70%,2.70%,2.00%,1.30%,1.70%,,80.20%,77.10%,73.50%,14.90%,11.40%,,(X),(X),(X),,100.00%,79.80%,19.40%,3.50%,1.80%,2.80%,0.10%,52.10%,20.20%,,121.00%,36.00%,7.10%,3.00%,3.30%,0.10%,71.50%,,100.00%,84.90%,15.10%,,100.00%,84.90%,10.60%,1.50%,1.70%,0.20%,0.10%,51.30%,19.60%,15.10%,8.80%,2.00%,0.10%,2.60%,0.00%,0.90%,0.70%,,100.00%,99.80%,33.80%,12.60%,0.10%,2.90%,0.00%,32.00%,19.10%,2.90%,2.50%,11.20%,4.20%,0.20%,0.00%,0.00%,0.00%,0.20%,0.20%,0.10%,,100.00%,37.70%,17.30%,9.20%,4.50%,19.10%,9.20%,1.50%,1.70%,34.10%,11.90%,5.00%,9.30%,39.20%,23.90%,,100.00%,91.40%,8.60%,1.90%,0.90%,0.60%,0.60%,0.50%,4.20%,,(X),(X),,100.00%,26.40%,73.60%,False,8.8,2.0,2.6,0.1,0.9,84.9,False
Census Tract 172; Hudson County; New Jersey!!Percent,100.00%,6.30%,6.30%,7.10%,6.80%,8.10%,7.60%,7.20%,8.30%,7.20%,5.90%,6.70%,6.00%,5.70%,4.20%,2.40%,1.70%,1.50%,0.90%,,78.70%,75.90%,72.40%,14.40%,10.80%,100.00%,7.40%,7.00%,7.50%,6.80%,7.80%,8.70%,7.40%,7.20%,7.10%,5.80%,6.90%,5.40%,5.80%,4.10%,1.90%,1.40%,1.10%,0.60%,,76.40%,74.10%,70.50%,12.60%,9.10%,100.00%,5.20%,5.70%,6.60%,6.90%,8.30%,6.50%,6.90%,9.30%,7.40%,6.00%,6.60%,6.60%,5.50%,4.40%,2.90%,2.00%,1.80%,1.20%,,80.90%,77.70%,74.40%,16.20%,12.40%,,(X),(X),(X),,100.00%,78.00%,19.60%,2.40%,3.30%,2.40%,0.00%,50.30%,22.00%,,122.60%,35.90%,4.90%,7.30%,2.80%,0.40%,71.40%,,100.00%,85.00%,15.00%,,100.00%,85.00%,9.80%,1.10%,3.30%,0.10%,0.00%,49.50%,21.30%,15.00%,9.80%,1.30%,0.00%,2.30%,0.00%,0.80%,0.70%,,100.00%,100.00%,35.30%,11.60%,0.10%,3.10%,0.20%,32.60%,20.40%,2.00%,1.70%,10.50%,4.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,33.20%,14.10%,9.50%,4.70%,22.70%,12.40%,1.40%,2.40%,34.50%,11.00%,4.80%,10.30%,35.50%,23.10%,,100.00%,91.50%,8.50%,5.10%,0.60%,0.00%,0.00%,0.40%,2.30%,,(X),(X),,100.00%,17.10%,82.90%,False,9.8,1.3,2.3,0.0,0.8,85.0,False
Census Tract 173; Hudson County; New Jersey!!Percent,100.00%,4.40%,4.40%,4.80%,4.10%,5.10%,9.20%,8.80%,8.80%,7.30%,6.50%,7.30%,7.10%,7.00%,5.60%,3.80%,2.60%,1.70%,1.50%,,85.10%,83.50%,80.90%,19.50%,15.30%,100.00%,4.00%,4.00%,5.20%,4.60%,4.80%,9.70%,8.50%,9.60%,7.10%,8.10%,7.60%,6.20%,6.70%,5.40%,3.30%,2.50%,1.60%,1.00%,,85.40%,83.60%,81.00%,17.60%,13.80%,100.00%,4.70%,4.90%,4.50%,3.60%,5.50%,8.60%,9.00%,7.90%,7.40%,4.90%,7.00%,8.10%,7.20%,5.90%,4.30%,2.70%,1.80%,2.00%,,84.90%,83.40%,80.80%,21.40%,16.80%,,(X),(X),(X),,100.00%,82.10%,39.30%,3.30%,0.70%,6.90%,0.00%,31.90%,17.90%,,119.50%,52.80%,5.90%,4.00%,8.10%,0.60%,48.10%,,100.00%,59.20%,40.80%,,100.00%,59.20%,9.80%,1.60%,0.70%,0.10%,0.00%,31.20%,15.80%,40.80%,29.50%,1.70%,0.00%,6.80%,0.00%,0.70%,2.00%,,100.00%,100.00%,45.00%,14.00%,0.60%,4.10%,0.20%,22.80%,14.20%,1.50%,1.20%,7.00%,4.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,32.50%,11.80%,9.60%,2.70%,24.80%,17.40%,3.30%,1.70%,33.10%,18.30%,7.50%,4.80%,24.50%,26.70%,,100.00%,89.50%,10.50%,3.40%,0.40%,0.20%,2.00%,1.10%,3.30%,,(X),(X),,100.00%,42.30%,57.70%,False,29.5,1.7,6.8,0.0,0.7,59.2,False
Census Tract 174; Hudson County; New Jersey!!Percent,100.00%,6.10%,6.20%,7.10%,6.70%,6.70%,7.50%,7.30%,6.70%,6.20%,6.70%,6.20%,7.80%,5.70%,4.50%,2.50%,2.40%,2.30%,1.30%,,79.40%,76.60%,72.40%,16.60%,13.10%,100.00%,6.50%,7.20%,8.00%,7.60%,6.70%,7.80%,7.50%,5.70%,6.00%,6.10%,6.70%,7.90%,5.60%,4.70%,1.70%,1.40%,2.20%,0.70%,,77.30%,74.30%,69.30%,14.40%,10.70%,100.00%,5.70%,5.40%,6.30%,5.90%,6.60%,7.30%,7.10%,7.70%,6.40%,7.20%,5.70%,7.70%,5.70%,4.30%,3.20%,3.40%,2.40%,1.90%,,81.20%,78.60%,75.20%,18.70%,15.20%,,(X),(X),(X),,100.00%,76.50%,19.70%,3.50%,2.90%,2.00%,0.00%,48.40%,23.50%,,124.40%,36.20%,6.50%,8.10%,2.40%,0.20%,71.00%,,100.00%,88.40%,11.60%,,100.00%,88.40%,13.00%,1.50%,2.80%,0.40%,0.00%,47.90%,22.80%,11.60%,6.70%,2.00%,0.10%,1.60%,0.00%,0.60%,0.70%,,100.00%,100.00%,36.00%,11.50%,0.30%,3.60%,0.20%,30.80%,19.40%,2.70%,2.30%,9.40%,5.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,33.10%,15.90%,10.10%,5.40%,21.30%,10.50%,3.00%,2.40%,35.50%,13.00%,8.00%,9.50%,37.90%,26.40%,,100.00%,91.30%,8.70%,2.70%,0.60%,0.90%,0.10%,0.00%,4.40%,,(X),(X),,100.00%,14.30%,85.70%,False,6.7,2.0,1.6,0.1,0.6,88.4,False
